,individual,1st_photo,last_photo,bad_picture
347,SP05-ETL_YY0705_CR04_None_0662-F238-00,P1130005,NA,
348,SP05-ETL_YY0705_CR04_None_0662-F239-00,P1130006,NA,
349,SP05-ETL_YY0705_CR04_None_0662-F240-00,P1130007,NA,
350,SP05-ETL_YY0705_CR04_None_0662-F241-00,P1130008,NA,
351,SP05-ETL_YY0705_CR04_None_0662-F242-00,P1130009,NA,
352,SP05-ETL_YY0705_CR04_None_0662-F242-00,P1130010,NA,
353,SP05-ETL_YY0705_CR04_None_0662-F242-00,P1130011,NA,
354,SP05-ETL_YY0705_CR04_None_0662-F243-00,P1130012,NA,
355,SP05-ETL_YY0705_CR04_None_0662-F244-00,P1130013,NA,
356,SP05-ETL_YY0705_CR04_None_0662-F244-00,P1130014,NA,
357,SP05-ETL_YY0705_CR04_None_0662-F245-00,P1130015,NA,
358,SP05-ETL_YY0705_CR04_None_0662-F246-00,P1130016,NA,
359,SP05-ETL_YY0705_CR04_None_0662-F247-00,P1130017,NA,
360,SP05-ETL_YY0705_CR04_None_0662-F248-00,P1130018,NA,
361,SP05-ETL_YY0705_CR04_None_0662-F249-00,P1130019,NA,
362,SP05-ETL_YY0705_CR04_None_0662-F250-00,P1130020,P1130021,
363,SP05-ETL_YY0705_CR04_None_0662-F250-00,P1130023,P1130025,
364,SP05-ETL_YY0705_CR04_None_0662-F250-00,P1130026,P1130027,
365,SP05-ETL_YY0708_OG49_None_0770-F251-00,P1130249,NA,
366,SP05-ETL_YY0708_OG49_None_0770-F251-00,P1130250,NA,
367,SP05-ETL_YY0708_OG49_None_0770-F251-00,P1130251,NA,
368,SP05-ETL_YY0708_OG49_None_0770-F251-00,P1130253,NA,
369,SP05-ETL_YY0708_OG49_None_0770-F252-00,P1130256,NA,
370,SP05-ETL_YY0708_OG49_None_0770-F252-00,P1130257,NA,
371,SP05-ETL_YY0708_OG49_None_0770-F253-00,P1130258,NA,
372,SP05-ETL_YY0708_OG49_None_0770-F254-00,P1130261,NA,
373,SP05-ETL_YY0708_OG49_None_0770-F254-00,P1130262,NA,
374,SP05-ETL_YY0708_OG49_None_0770-F255-00,P1130265,P1130266,
375,SP05-ETL_YY0708_OG49_None_0770-F256-00,P1130268,NA,
376,SP05-ETL_YY0708_OG49_None_0770-F256-00,P1130269,NA,
377,SP05-ETL_YY0708_OG49_None_0770-F257-00,P1130270,NA,
378,SP05-ETL_YY0708_OG49_None_0770-F258-00,P1130271,NA,
379,SP05-ETL_YY0708_OG49_None_0770-F259-00,P1130273,NA,
380,SP05-ETL_YY0708_OG49_None_0770-F260-00,P1130274,NA,
381,SP05-ETL_YY0708_OG49_None_0770-F261-00,P1130275,P1130276,
382,SP05-ETL_YY0708_OG49_None_0770-F261-00,P1130277,NA,
383,SP05-ETL_YY0708_OG49_None_0770-F261-00,P1130278,NA,
384,SP05-ETL_YY0708_OG49_None_0770-F262-00,P1130283,NA,
385,SP05-ETL_YY0708_OG49_None_0770-F262-00,P1130284,NA,
386,SP05-ETL_YY0708_OG49_None_0770-F263-00,P1130289,P1130290,
388,SP05-ETL_YY0709_OG52_None_0788-F265-00,P1130453,NA,
389,SP05-ETL_YY0709_OG52_None_0788-F266-00,P1130454,NA,
390,SP05-ETL_YY0709_OG52_None_0788-F267-00,P1130455,NA,
391,SP05-ETL_YY0709_OG52_None_0788-F268-00,P1130456,NA,
392,SP05-ETL_YY0709_OG52_None_0788-F269-00,P1130457,NA,
393,SP05-ETL_YY0709_OG52_None_0788-F270-00,P1130458,NA,
394,SP05-ETL_YY0709_OG52_None_0788-F271-00,P1130459,NA,
395,SP05-ETL_YY0709_OG52_None_0788-F271-00,P1130460,P1130461,
396,SP05-ETL_YY0709_OG52_None_0788-F271-00,P1130462,NA,
397,SP05-ETL_YY0709_OG52_None_0788-F272-00,P1130463,NA,
398,SP05-ETL_YY0709_OG52_None_0788-F273-00,P1130464,NA,
399,SP05-ETL_YY0709_OG52_None_0788-F274-00,P1130465,NA,
400,SP05-ETL_YY0709_OG52_None_0788-F275-00,P1130466,NA,
401,SP05-ETL_YY0711_PR36_None_0802-F276-00,P1130512,NA,
402,SP05-ETL_YY0711_PR36_None_0802-F277-00,P1130514,NA,
403,SP05-ETL_YY0711_PR36_None_0802-F278-00,P1130515,NA,
404,SP05-ETL_YY0711_PR36_None_0802-F278-00,P1130516,NA,
405,SP05-ETL_YY0711_PR36_None_0802-F278-00,P1130517,NA,
406,SP05-ETL_YY0711_PR36_None_0802-F279-00,P1130518,NA,
407,SP05-ETL_YY0711_PR36_None_0802-F279-00,P1130519,NA,
408,SP05-ETL_YY0711_PR36_None_0802-F280-00,P1130521,NA,
409,SP05-ETL_YY0711_PR36_None_0802-F281-00,P1130522,NA,
410,SP05-ETL_YY0711_PR36_None_0802-F282-00,P1130526,NA,
411,SP05-ETL_YY0711_PR36_None_0802-F282-00,P1130527,NA,
412,SP05-ETL_YY0711_PR36_None_0802-F282-00,P1130528,NA,
413,SP05-ETL_YY0711_PR36_None_0802-F283-00,P1130532,NA,
414,SP05-ETL_YY0711_PR36_None_0802-F283-00,P1130533,NA,
415,SP05-ETL_YY0711_PR36_None_0802-F283-00,P1130534,NA,
416,SP05-ETL_YY0711_PR36_None_0802-F284-00,P1130535,P1130536,
417,SP05-ETL_YY0712_PR34_None_0825-F285-00,P1130673,NA,
418,SP05-ETL_YY0712_PR34_None_0825-F286-00,P1130677,P1130678,
419,SP05-ETL_YY0712_PR34_None_0825-F286-00,P1130675,NA,
420,SP05-ETL_YY0712_PR34_None_0825-F287-00,P1130679,NA,
421,SP05-ETL_YY0712_PR34_None_0825-F288-00,P1130686,NA,
422,SP05-ETL_YY0712_PR34_None_0825-F289-00,P1130687,NA,
423,SP05-ETL_YY0712_PR34_None_0825-F289-00,P1130692,NA,
424,SP05-ETL_YY0712_PR34_None_0825-F289-00,P1130693,NA,
425,SP05-ETL_YY0712_PR34_None_0825-F289-00,P1130694,P1130695,
426,SP05-ETL_YY0712_PR34_None_0825-F290-00,P1130701,NA,
427,SP05-ETL_YY0712_PR34_None_0825-F290-00,P1130703,NA,
428,SP05-ETL_YY0712_PR34_None_0825-F291-00,P1130706,NA,
429,SP05-ETL_YY0712_PR34_None_0825-F292-00,P1130707,NA,
430,SP05-ETL_YY0712_PR34_None_0825-F293-00,P1130708,NA,
431,SP05-ETL_YY0712_PR34_None_0825-F293-00,P1130710,NA,
432,SP05-ETL_YY0712_PR34_None_0825-F294-00,P1130711,NA,
433,SP05-ETL_YY0712_PR34_None_0825-F294-00,P1130713,NA,
434,SP05-ETL_YY0712_PR34_None_0825-F294-00,P1130714,NA,
435,SP05-ETL_YY0712_PR34_None_0825-F295-00,P1130716,NA,
436,SP05-ETL_YY0712_PR34_None_0825-F295-00,P1130717,NA,
437,SP05-ETL_YY0712_PR34_None_0825-F295-00,P1130718,P1130719,
438,SP05-ETL_YY0712_PR34_None_0825-F295-00,P1130721,NA,
439,SP05-ETL_YY0712_PR34_None_0825-F295-00,P1130722,P1130723,
440,SP05-ETL_YY0712_PR34_None_0825-F296-00,P1130728,NA,
441,SP05-ETL_YY0712_PR34_None_0825-F296-00,P1130730,NA,
442,SP05-ETL_YY0712_PR34_None_0825-F296-00,P1130731,P1130733,
443,SP05-ETL_YY0712_PR34_None_0825-F296-00,P1130737,NA,
444,SP05-ETL_YY0712_PR34_None_0825-F297-00,P1130743,NA,
445,SP05-ETL_YY0717_PR26_None_0853-F298-00,P1130891,NA,
446,SP05-ETL_YY0717_PR26_None_0853-F298-00,P1130892,NA,
447,SP05-ETL_YY0717_PR26_None_0853-F299-00,P1130897,NA,
448,SP05-ETL_YY0717_PR26_None_0853-F300-00,P1130904,NA,
449,SP05-ETL_YY0717_PR26_None_0853-F301-00,P1130909,NA,
450,SP05-ETL_YY0717_PR26_None_0853-F302-00,P1130916,NA,
451,SP05-ETL_YY0717_PR26_None_0853-F303-00,P1130930,NA,
452,SP05-ETL_YY0717_PR26_None_0853-F304-00,P1130936,NA,
453,SP05-ETL_YY0717_PR26_None_0853-F305-00,P1130937,NA,
454,SP05-ETL_YY0717_PR26_None_0853-F306-00,P1130938,NA,
455,SP05-ETL_YY0717_PR26_None_0853-F306-00,P1130939,NA,
456,SP05-ETL_YY0717_PR26_None_0853-F307-00,P1130946,NA,
457,SP05-ETL_YY0717_PR26_None_0853-F308-00,P1130953,NA,
458,SP05-ETL_YY0717_PR26_None_0853-F309-00,P1130960,NA,
459,SP05-ETL_YY0717_PR26_None_0853-F310-00,P1130966,NA,
460,SP05-ETL_YY0717_PR26_None_0853-F311-00,P1130967,NA,
461,SP05-ETL_YY0717_PR26_None_0853-F311-00,P1130968,NA,
462,SP05-ETL_YY0717_PR26_None_0853-F312-00,P1130973,P1130974,
463,SP05-ETL_YY0717_PR26_None_0853-F313-00,P1130980,NA,
464,SP05-ETL_YY0717_PR26_None_0853-F313-00,P1130981,NA,
465,SP05-ETL_YY0719_PR22_None_0899-F314-00,P1140115,NA,
466,SP05-ETL_YY0719_PR22_None_0899-F315-00,P1140116,NA,
467,SP05-ETL_YY0719_PR22_None_0899-F315-00,P1140117,NA,
468,SP05-ETL_YY0807_OG42_None_0983-F316-00,P1140329,NA,
469,SP05-ETL_YY0807_OG42_None_0983-F317-00,P1140333,NA,
470,SP05-ETL_YY0807_OG42_None_0983-F317-00,P1140334,NA,
471,SP05-ETL_YY0807_OG42_None_0983-F317-00,P1140335,NA,
472,SP05-ETL_YY0807_OG42_None_0983-F317-00,P1140336,P1140337,
473,SP05-ETL_YY0807_OG42_None_0983-F318-00,P1140338,NA,
474,SP05-ETL_YY0807_OG42_None_0983-F319-00,P1140339,NA,
475,SP05-ETL_YY0807_OG42_None_0983-F319-00,P1140340,NA,
476,SP05-ETL_YY0807_OG42_None_0983-F319-00,P1140341,NA,
477,SP05-ETL_YY0807_OG42_None_0983-F320-00,P1140342,NA,
478,SP05-ETL_YY0807_OG42_None_0983-F321-00,P1140343,NA,
479,SP05-ETL_YY0807_OG42_None_0983-F322-00,P1140344,NA,
480,SP05-ETL_YY0807_OG42_None_0983-F323-00,P1140345,NA,
481,SP05-ETL_YY0807_OG42_None_0983-F324-00,P1140346,NA,
482,SP05-ETL_YY0807_OG42_None_0983-F324-00,P1140347,NA,
483,SP05-ETL_YY0807_OG42_None_0983-F325-00,P1140348,P1140351,
484,SP05-ETL_YY0807_OG42_None_0983-F325-00,P1140352,P1140356,
485,SP05-ETL_YY0807_OG42_None_0983-F325-00,P1140357,P1140360,
486,SP05-ETL_YY0808_OG41_None_0997-F326-00,P1140482,NA,
487,SP05-ETL_YY0808_OG41_None_0997-F327-00,P1140487,NA,
488,SP05-ETL_YY0808_OG41_None_0997-F328-00,P1140488,NA,
489,SP05-ETL_YY0808_OG41_None_0997-F328-00,P1140489,NA,
490,SP05-ETL_YY0808_OG41_None_0997-F329-00,P1140490,NA,
491,SP05-ETL_YY0808_OG41_None_0997-F329-00,P1140491,NA,
492,SP05-ETL_YY0808_OG41_None_0997-F329-00,P1140492,P1140494,
493,SP05-ETL_YY0808_OG41_None_0997-F330-00,P1140495,P1140496,
494,SP05-ETL_YY0808_OG41_None_0997-F330-00,P1140497,P1140501,
495,SP05-ETl_YY0811_OG47_None_1012-F333-00,P1140726,NA,
496,SP05-ETl_YY0811_OG47_None_1012-F334-00,P1140727,NA,
497,SP05-ETl_YY0811_OG47_None_1012-F335-00,P1140728,NA,
498,SP05-ETl_YY0811_OG47_None_1012-F336-00,P1140729,NA,
499,SP05-ETl_YY0811_OG47_None_1012-F336-00,P1140730,NA,
500,SP05-ETl_YY0811_OG47_None_1012-F337-00,P1140731,P1140733,
501,SP05-ETl_YY0811_OG47_None_1012-F337-00,P1140734,P1140735,
502,SP05-ETl_YY0811_OG47_None_1012-F337-00,P1140736,P1140738,
503,SP05-ETL_YY0812_CR11_None_1062-F338-00,P1140941,NA,
504,SP05-ETL_YY0812_CR11_None_1062-F338-00,P1140942,NA,
505,SP05-ETL_YY0812_CR11_None_1062-F339-00,P1140943,NA,
506,SP05-ETL_YY0812_CR11_None_1062-F339-00,P1140944,NA,
507,SP05-ETl_YY0811_OG47_None_1012-F331-00,P1140717,NA,
508,SP05-ETl_YY0811_OG47_None_1012-F331-00,P1140718,NA,
509,SP05-ETl_YY0811_OG47_None_1012-F331-00,P1140719,NA,
510,SP05-ETl_YY0811_OG47_None_1012-F331-00,P1140720,NA,
511,SP05-ETl_YY0811_OG47_None_1012-F331-00,P1140721,NA,
512,SP05-ETl_YY0811_OG47_None_1012-F331-00,P1140722,NA,
513,SP05-ETl_YY0811_OG47_None_1012-F332-00,P1140723,NA,
514,SP05-ETl_YY0811_OG47_None_1012-F332-00,P1140724,NA,
515,SP05-ETl_YY0811_OG47_None_1012-F332-00,P1140725,NA,
516,SP05-ETL_YY0813_OG46_None_1090-F340-00,P1150197,NA,
517,SP05-ETL_YY0813_OG46_None_1090-F340-00,P1150198,NA,
518,SP05-ETL_YY0813_OG46_None_1090-F340-00,P1150199,NA,
519,SP05-ETL_YY0813_OG46_None_1090-F340-00,P1150200,NA,
520,SP05-ETL_YY0813_OG46_None_1090-F340-00,P1150201,NA,
521,SP05-ETL_YY0813_OG46_None_1090-F340-00,P1150202,NA,
522,SP05-ETL_YY0813_OG46_None_1090-F341-00,P1150206,NA,
523,SP05-ETL_YY0813_OG46_None_1090-F342-00,P1150207,NA,
524,SP05-ETL_YY0813_OG46_None_1090-F342-00,P1150208,NA,
525,SP05-ETL_YY0813_OG46_None_1090-F342-00,P1150209,NA,
526,SP05-ETL_YY0813_OG46_None_1090-F342-00,P1150213,NA,
527,SP05-ETL_YY0813_OG46_None_1090-F343-00,P1150214,NA,
528,SP05-ETL_YY0813_OG46_None_1090-F344-00,P1150216,NA,
529,SP05-ETL_YY0813_OG46_None_1090-F345-00,P1150217,NA,
530,SP05-ETL_YY0813_OG46_None_1090-F346-00,P1150218,NA,
531,SP05-ETL_YY0813_OG46_None_1090-F346-00,P1150219,NA,
532,SP05-ETL_YY0813_OG46_None_1090-F346-00,P1150220,NA,
533,SP05-ETL_YY0813_OG46_None_1090-F347-00,P1150221,NA,
534,SP05-ETL_YY0813_OG46_None_1090-F348-00,P1150222,NA,
535,SP05-ETL_YY0813_OG46_None_1090-F348-00,P1150223,NA,
536,SP05-ETL_YY0813_OG46_None_1090-F348-00,P1150224,NA,
537,SP05-ETL_YY0813_OG46_None_1090-F349-00,P1150225,NA,
538,SP05-ETL_YY0813_OG46_None_1090-F350-00,P1150226,NA,
539,SP05-ETL_YY0813_OG46_None_1090-F351-00,P1150227,P1150228,
540,SP05-ETL_YY0813_OG46_None_1090-F352-00,P1150229,NA,
541,SP05-ETL_YY0813_OG46_None_1090-F353-00,P1150230,NA,
542,SP05-ETL_YY0813_OG46_None_1090-F354-00,P1150231,NA,
543,SP05-ETL_YY0813_OG46_None_1090-F355-00,P1150232,NA,
