,individual,1st_photo,last_photo,bad_picture
82,SP05-ETL_220503_PR22_None_0279-F068-00,P1100559,NA,stam not calculated
83,SP05-ETL_220503_PR22_None_0279-F068-00,P1100560,NA,stam not calculated
84,SP05-ETL_220503_PR22_None_0279-F069-00,P1100561,P1100562,"flash, 2nd photo not measured"
85,SP05-ETL_220503_PR22_None_0279-F070-00,P1100563,,
86,SP05-ETL_220503_PR22_None_0279-F070-00,P1100565,NA,
87,SP05-ETL_220503_PR22_None_0279-F070-00,P1100566,NA,
88,SP05-ETL_220503_PR22_None_0279-F070-00,P1100569,,
89,SP05-ETL_220503_PR22_None_0279-F071-00,P1100571,NA,
90,SP05-ETL_220503_PR22_None_0279-F071-00,P1100579,,
91,SP05-ETL_220503_PR22_None_0279-F072-00,P1100584,,1st leaf with number united
92,SP05-ETL_220504_CR05_None_0301-F073-00,P1100628,P1100630,other pictur not measured
93,SP05-ETL_220504_CR05_None_0301-F073-00,P1100631,,
94,SP05-ETL_220504_CR05_None_0301-F073-00,P1100635,,not recognized
95,SP05-ETL_220504_CR05_None_0301-F074-00,P1100637,,
96,SP05-ETL_220504_CR05_None_0301-F074-00,P1100641,,stam not calculated
97,SP05-ETL_220504_CR05_None_0301-F075-00,P1100643,,
98,SP05-ETL_220504_CR05_None_0301-F076-00,P1100645,P1100657,"non perfect, flash or shadow"
99,SP05-ETL_220504_CR05_None_0301-F077-00,P1100648,P1100650,"non perfect, flash or shadow"
100,SP05-ETL_220504_CR05_None_0301-F078-00,P1100651,,
101,SP05-ETL_220504_CR05_None_0301-F079-00,P1100654,,
102,SP05-ETL_220504_CR05_None_0301-F080-00,P1100656,P1100657,second did not measure
103,SP05-ETL_220505_OG39_None_0323-F081-00,P1100852,P1100854,second did not measure
104,SP05-ETL_220505_OG39_None_0323-F082-00,P1100857,P1100858,"no square recognized, shadows, 2nd photo not measured"
105,SP05-ETL_220505_OG39_None_0323-F083-00,P1100862,,
106,SP05-ETL_220505_OG39_None_0323-F084-00,P1100865,P1100866,"wrong square, 2nd pic not measured"
107,SP05-ETL_220505_OG39_None_0323-F084-00,P1100867,,
108,SP05-ETL_220505_OG39_None_0323-F085-00,P1100871,P1100872,"square bigger then real, 2nd photo not measured"
109,SP05-ETL_220505_OG39_None_0323-F086-00,P1100875,,
110,SP05-ETL_220505_OG39_None_0323-F087-00,P1100882,P1100883,2nd picture not measured
111,SP05-ETL_220505_OG39_None_0323-F088-00,P1100886,,2 leaves not measured
112,SP05-ETL_220505_OG39_None_0323-F089-00,P1100898,,
113,SP05-ETL_220505_OG39_None_0323-F089-00,P1100901,,
114,SP05-ETL_220505_OG39_None_0323-F090-01,P1100904,P1100906,not measured at all or because of flesh
115,SP05-ETL_220505_OG39_None_0323-F090-02,P1100909,,
116,SP05-ETL_220505_OG39_None_0323-F091-00,P1100911,,
117,SP05-ETL_220505_OG39_None_0323-F091-00,P1100915,,not measured
118,SP05-ETL_220509_CR04_None_0341-F092-00,P1110012,NA,
119,SP05-ETL_220509_CR04_None_0341-F092-00,P1110013,NA,some flashlight on last leaf
