,individual,1st_photo,last_photo,bad_picture
1,SP05-EM_220408_OG38_None_0081-F010-00,P1090580,P1090581,2,photos/F10/P1090580.JPG,photos/F10/P1090581.JPG
2,SP05-EM_220408_OG38_None_0081-F011-00,P1090583,P1090584,2,photos/F11/P1090583.JPG,photos/F11/P1090584.JPG
3,SP05-EM_220408_OG38_None_0081-F012-00,P1090588,P1090589,2,photos/F12/P1090588.JPG,photos/F12/P1090589.JPG
4,SP05-EM_220408_OG38_None_0081-F013-00,P1090592,NA,1,photos/F13/P1090592.JPG
5,SP05-EM_220408_OG38_None_0081-F014-00,P1090595,P1090596,2,photos/F14/P1090595.JPG,photos/F14/P1090596.JPG
6,SP05-EM_220408_OG38_None_0081-F015-00,P1090597,P1090599,3,photos/F15/P1090597.JPG,file not found,photos/F15/P1090599.JPG
7,SP05-EM_220409_PR26_None_0099-F016-00,P1090734,NA,1,photos/F16/P1090734.JPG
8,SP05-EM_220409_PR26_None_0099-F017-00,P1090738,NA,1,photos/F17/P1090738.JPG
9,SP05-EM_220409_PR26_None_0099-F017-00,P1090740,NA,1,photos/F17/P1090740.JPG
10,SP05-EM_220409_PR26_None_0099-F018-00,P1090744,NA,1,photos/F18/P1090744.JPG
11,SP05-EM_220409_PR26_None_0099-F018-00,P1090745,NA,1,photos/F18/P1090745.JPG
12,SP05-EM_220409_PR26_None_0099-F018-00,P1090746,NA,1,photos/F18/P1090746.JPG
13,SP05-EM_220409_PR26_None_0099-F019-00,P1090749,NA,1,photos/F19/P1090749.JPG
14,SP05-EM_220409_PR26_None_0099-F020-00,P1090753,NA,1,photos/F20/P1090753.JPG
15,SP05-EM_220409_PR26_None_0099-F021-00,P1090757,P1090758,2,photos/F21/P1090757.JPG,photos/F21/P1090758.JPG
16,SP05-EM_220409_PR26_None_0099-F022-00,P1090762,NA,1,photos/F22/P1090762.JPG
17,SP05-EM_220409_PR26_None_0099-F023-00,P1090766,NA,1,photos/F23/P1090766.JPG
18,SP05-EM_220409_PR26_None_0099-F024-00,P1090769,NA,1,photos/F24/P1090769.JPG
19,SP05-EM_220409_PR26_None_0099-F025-00,P1090770,NA,1,photos/F25/P1090770.JPG
20,SP05-EM_220409_PR26_None_0099-F026-00,P1090773,NA,1,photos/F26/P1090773.JPG
21,SP05-EM_220409_PR26_None_0099-F027-00,P1090774,NA,1,photos/F27/P1090774.JPG
22,SP05-EM_220405_CR06_None_0101-F001-00,P1090295,NA,1,photos/F001/P1090295-143.JPG
23,SP05-EM_220405_CR06_None_0101-F002-00,P1090304,NA,1,photos/F002/P1090304-152.JPG
24,SP05-EM_220405_CR06_None_0101-F003-00,P1090309,P1090310,2,photos/F003/P1090309-157.JPG,photos/F003/P1090310-158.JPG
25,SP05-EM_220405_CR06_None_0101-F004-00,P1090314,P1090315,2,photos/F004/P1090314-162.JPG,photos/F004/P1090315-163.JPG
26,SP05-EM_220405_CR06_None_0101-F004-00,P1090316,NA,1,photos/F004/P1090316-164.JPG
27,SP05-EM_220405_CR06_None_0101-F004-00,P1090317,P1090318,2,photos/F004/P1090317-165.JPG,photos/F004/P1090318-166.JPG
28,SP05-EM_220405_CR06_None_0101-F005-00,P1090324,NA,1,photos/F005/P1090324-170.JPG
